"table_name","column_name","data_type"
"mstr_scam_f_cust_revenue_v","cash_discount_percent","numeric"
"mstr_l_sales_region_hierarchy","is_dirty","boolean"
"mstr_l_sales_rep","tenant_id","bigint"
"mstr_l_sales_rep","org_id","bigint"
"mstr_l_sales_rep","sales_rep_id","bigint"
"mstr_l_sales_rep","sales_supv_id","bigint"
"mstr_l_sales_rep","sales_rep_region_id","bigint"
"mstr_l_sales_rep","is_dirty","boolean"
"mstr_l_sales_supervisor","tenant_id","bigint"
"mstr_l_sales_supervisor","org_id","bigint"
"mstr_l_sales_supervisor","sales_supv_id","bigint"
"mstr_l_sales_supervisor","sales_supv_region_id","bigint"
"mstr_fram_f_acct_empl","project_phase_id","bigint"
"mstr_fram_f_acct_empl","project_task_id","bigint"
"mstr_l_sales_supervisor","is_dirty","boolean"
"mstr_l_shipper","tenant_id","bigint"
"mstr_l_shipper","org_id","bigint"
"mstr_l_shipper","shipper_id","bigint"
"mstr_l_spromise","tenant_id","bigint"
"mstr_l_spromise","org_id","bigint"
"mstr_l_spromise","spromise_id","bigint"
"mstr_l_spromise","currency_id","bigint"
"mstr_l_spromise","vendor_id","bigint"
"mstr_l_spromise","salesrep_id","bigint"
"mstr_l_spromise","voidreason_id","bigint"
"mstr_l_spromise","materializationdate","timestamp without time zone"
"mstr_l_spromise","datestart","timestamp without time zone"
"mstr_l_spromise","datestop","timestamp without time zone"
"mstr_l_spromise","is_dirty","boolean"
"mstr_fram_f_acct_empl","activity_id","bigint"
"mstr_fram_f_acct_empl","acct_usrdef1_id","bigint"
"mstr_fram_f_acct_empl","acct_usrdef2_id","bigint"
"mstr_l_spromiseline","tenant_id","bigint"
"mstr_l_spromiseline","org_id","bigint"
"mstr_l_spromiseline","spromise_id","bigint"
"mstr_l_spromiseline","spromiseline_id","bigint"
"mstr_l_spromiseline","currency_id","bigint"
"mstr_l_spromiseline","prod_id","bigint"
"mstr_l_spromiseline","attrset_id","bigint"
"mstr_l_spromiseline","prop1_id","bigint"
"mstr_l_spromiseline","propval1_id","bigint"
"mstr_l_spromiseline","prop2_id","bigint"
"mstr_l_spromiseline","propval2_id","bigint"
"mstr_l_spromiseline","prop3_id","bigint"
"mstr_l_spromiseline","propval3_id","bigint"
"mstr_l_spromiseline","prod_category_id","bigint"
"mstr_l_spromiseline","prod_subcategory_id","bigint"
"mstr_l_spromiseline","prod_family_id","bigint"
"mstr_l_spromiseline","prod_familytype_id","bigint"
"mstr_l_spromiseline","is_dirty","boolean"
